zip code,job title
45969,Insurance broker
73873,Public affairs consultant
21361,"Presenter, broadcasting"
91032,"Teacher, English as a foreign language"
28589,"Engineer, production"
45180,"Accountant, chartered management"
96946,Dispensing optician
15044,"Therapist, drama"
80275,Production manager
07974,Publishing copy
82677,Field seismologist
18623,Meteorologist
66053,Pensions consultant
32352,Psychiatric nurse
97814,"Engineer, electrical"
54863,Electronics engineer
61336,Leisure centre manager
37364,Housing manager/officer
25041,"Psychotherapist, child"
27547,Lexicographer
45599,Sports therapist
38393,TEFL teacher
45910,Nutritional therapist
72171,"Accountant, chartered management"
46701,"Accountant, chartered certified"
83296,Counselling psychologist
06056,Best boy
82077,Comptroller
80598,"Scientist, marine"
49879,Building control surveyor
57269,Best boy
79598,Television camera operator
98178,Psychotherapist
53532,Sales promotion account executive
03034,Futures trader
78990,Lobbyist
97650,Equities trader
59644,Retail buyer
54847,"Administrator, education"
47979,Planning and development surveyor
04374,Environmental manager
53670,Insurance underwriter
84744,"Engineer, civil (contracting)"
53472,"Engineer, maintenance (IT)"
75939,Travel agency manager
04662,Special effects artist
50517,Structural engineer
74356,"Production assistant, television"
06622,Analytical chemist
39096,Ergonomist
31194,Ship broker
65149,"Scientist, marine"
10354,Ship broker
15713,Engineering geologist
62365,Special educational needs teacher
07092,"Conservator, furniture"
56775,Arboriculturist
02547,Colour technologist
45443,Environmental consultant
56325,Geophysicist/field seismologist
46382,Fashion designer
96090,Theatre stage manager
77491,Travel agency manager
72089,Research scientist (life sciences)
28709,Special effects artist
87661,Financial trader
69975,Textile designer
73339,"Buyer, industrial"
36805,Exhibition designer
86221,Exhibition designer
86169,Homeopath
82114,"Scientist, biomedical"
08333,"Conservation officer, nature"
11776,"Engineer, building services"
58879,Air traffic controller
66525,"Scientist, clinical (histocompatibility and immunogenetics)"
67074,Hydrographic surveyor
67367,Agricultural engineer
51806,"Scientist, audiological"
42789,"Scientist, forensic"
26754,Computer games developer
96734,Land/geomatics surveyor
29302,Jewellery designer
23219,Occupational therapist
43544,Production manager
29425,Public librarian
80763,Estate agent
06280,Information officer
74540,Best boy
90058,Armed forces technical officer
34212,Bookseller
72200,"Nurse, mental health"
89390,Minerals surveyor
65758,IT sales professional
42457,Early years teacher
83526,Careers information officer
32949,"Therapist, speech and language"
82272,Environmental manager
74889,"Administrator, charities/voluntary organisations"
93654,"Nurse, adult"
59538,Accounting technician
15487,Oncologist
06342,Adult guidance worker
11331,Licensed conveyancer
51006,Community education officer
63584,Structural engineer
25498,Product designer
64540,"Scientist, research (medical)"
21189,"Surveyor, mining"
03124,Land
51028,Investment analyst
22193,"Scientist, audiological"
02833,Visual merchandiser
48653,Engineering geologist
47384,"Pilot, airline"
97069,Estate agent
96010,Database administrator
11042,Manufacturing systems engineer
44498,"Research officer, trade union"
85404,Television production assistant
90491,"Teacher, music"
71441,Print production planner
49387,"Teacher, secondary school"
96910,Customer service manager
78329,"Scientist, biomedical"
71405,"Engineer, petroleum"
21691,Occupational hygienist
36254,"Therapist, occupational"
81819,Operational investment banker
59469,Facilities manager
36939,Air broker
60876,Early years teacher
49156,Commercial art gallery manager
15031,Adult nurse
49464,Radio producer
81008,Advertising account planner
15411,Regulatory affairs officer
60899,Electrical engineer
69567,Clinical embryologist
87083,Mining engineer
06783,"Buyer, industrial"
81218,Pensions consultant
54452,Garment/textile technologist
38690,Theme park manager
92354,Actuary
17066,Nutritional therapist
44434,Dramatherapist
08874,Chartered legal executive (England and Wales)
40807,Conference centre manager
33713,Farm manager
01861,"Psychologist, sport and exercise"
86917,"Biochemist, clinical"
84550,Database administrator
31260,Firefighter
47872,Ranger/warden
66683,"Psychologist, occupational"
54130,"Designer, blown glass/stained glass"
14791,Museum/gallery curator
30410,Insurance risk surveyor
92579,"Doctor, general practice"
45403,Social worker
15293,Call centre manager
09259,Television/film/video producer
01553,Heritage manager
78148,Armed forces training and education officer
42551,Special educational needs teacher
30952,Geochemist
24172,Radio producer
98785,Child psychotherapist
91242,Audiological scientist
50940,"Surveyor, hydrographic"
18400,Chief Technology Officer
69343,"Civil engineer, contracting"
00771,Secondary school teacher
78716,Tourist information centre manager
73207,Teaching laboratory technician
65278,Environmental education officer
55852,Plant breeder/geneticist
20046,Waste management officer
62153,"Accountant, chartered certified"
63937,Podiatrist
71133,Ergonomist
58646,Translator
15669,Historic buildings inspector/conservation officer
70794,Aeronautical engineer
50486,Financial planner
94333,Music tutor
75416,Chief Executive Officer
42995,"Teacher, special educational needs"
66955,"Therapist, drama"
80711,"Editor, commissioning"
23681,"Scientist, product/process development"
09773,Camera operator
54875,Equities trader
77087,Interior and spatial designer
50872,Tax adviser
68467,Contracting civil engineer
32161,Retail banker
81673,"Administrator, Civil Service"
19951,"Journalist, newspaper"
75774,"Research officer, political party"
03226,Operational researcher
21349,Fast food restaurant manager
67290,Rural practice surveyor
38097,Garment/textile technologist
14648,Office manager
35273,Administrator
55258,Geoscientist
52226,Sales executive
06501,Lexicographer
25573,Estate manager/land agent
34008,"Engineer, manufacturing systems"
89275,Health and safety adviser
22774,"Surveyor, insurance"
92538,Furniture conservator/restorer
82867,"Therapist, speech and language"
77215,Farm manager
43947,"Nurse, children's"
91410,Housing manager/officer
