domain,ipv4,ipv6
daugherty.com,18.128.166.184,b7e0:bd38:ea:6d9b:bcae:e7a0:877d:a955
bryant-harrington.com,4.187.94.24,cb57:de61:336b:4f4d:f2bc:e977:6118:4d3f
davis.com,5.112.20.44,a2ac:bc99:57f4:214:3deb:1373:1a98:6aab
estes-parker.net,63.65.214.108,2426:420a:5a4e:e262:8a4e:15c5:6498:df5e
vasquez-arellano.org,33.62.243.0,daef:71f4:15dd:e97c:89a2:151f:cb4e:cfe
moss.com,166.243.193.197,215d:1c8a:8828:3c51:f6c:ac41:9111:98ef
mitchell-elliott.net,97.15.241.138,6a2b:5337:9fed:741f:38b4:c4c1:ff59:b6b6
villanueva.biz,79.237.106.205,17ce:243f:275d:7a48:638a:4983:7a1:9d8
owens.info,32.222.2.138,e589:ef5c:b804:e1d9:b0b1:33fc:8bf4:6f31
warren-pena.net,118.160.95.10,7d4d:ed29:4caf:edc:ed3f:46b9:8bb2:702
townsend.net,176.117.136.104,f5b:3411:b916:c6a9:18d8:57ed:d653:9e3d
house.com,216.201.218.53,6c91:19dc:ffc1:fc7b:90b7:4542:d425:f2d9
mathews-rivera.com,54.8.232.170,a773:2510:9651:6d57:e329:6de0:35d7:2398
gonzalez.net,49.181.185.31,d178:a764:2122:5580:5024:12be:95f8:4eaa
bowen.com,124.99.238.126,ae91:fef6:3e40:5c9d:15f:6a81:d0f3:e666
daniel.com,30.138.157.28,79ab:2ea4:eee5:5986:70f2:d5c1:52d:b60d
perez.info,111.144.243.57,7a0a:e3b6:58fd:1540:6917:8607:d2d0:30b1
boyd.com,137.25.60.220,4da:4714:cd72:5491:7c61:5776:df7e:3129
weber.biz,57.22.23.214,aabe:d838:f6e2:a70a:69ce:616d:136a:cbbb
wilson.com,163.24.190.152,c678:a290:2378:896d:de0e:c38d:e6:5436
williams-lang.com,209.63.223.38,d962:390:d79f:cd3b:495:97:812a:19f9
pace.com,86.254.164.77,ccad:6865:d53a:6a2d:a490:d75f:2795:9a2b
trevino.org,97.107.69.229,c1df:8b7c:55f:5694:8e5b:c0b2:aaf4:ee61
hall.net,147.160.53.157,caa4:90b1:7fb7:20fc:2b39:7e7e:a420:f887
medina.org,61.43.152.143,f558:3e6d:82b3:d1a1:33a9:ea87:20d5:2a2c
simpson-mccoy.info,130.189.254.172,769b:69d0:8e1b:1293:45ed:ac01:a888:817e
ruiz.com,43.82.110.147,572e:58a6:1387:5977:8292:5ca9:2a6b:248d
dunn.com,18.231.3.251,fa04:5ac9:844c:6c27:ee2f:2332:56db:a633
rodriguez.org,60.54.166.115,26cd:74f2:31c6:1c5e:267:e07f:eea3:d96c
cox.com,181.139.158.12,7784:1bd9:adf5:828c:d22c:eef3:8ccf:ea20
carter.com,34.233.212.251,fe5a:10c1:8753:f289:40b8:c730:4d42:cd70
jones.com,165.203.16.93,1f57:5cb6:e776:713e:7b40:737d:74f7:713b
cole.com,187.165.35.73,9392:d545:7a56:3093:2d35:3939:645f:5dda
medina.com,218.242.91.44,23a4:196f:421c:ae2b:dc0b:6564:3c31:8e7f
douglas.com,72.229.209.173,4ee1:c1cf:c185:6afd:2bbf:d85b:95d5:229f
wolf.com,203.111.75.217,fe8d:71c5:d731:58ce:c738:169:8ec4:9496
bryant.com,6.237.190.163,3b32:cea4:318a:efae:7001:1694:e7ce:d9bd
lopez-little.biz,185.56.75.148,c92:7188:2b3a:b49a:6271:510b:7e34:d837
reyes.org,101.53.2.9,b4:36b7:9d20:d23e:7cae:885e:b12b:fb8c
ortiz-neal.biz,137.134.144.57,7ac0:d8d9:d1f4:df1d:171c:a864:292e:94e
massey.info,135.1.121.202,7e50:eeb0:3692:b33d:17a3:22c0:51c9:805f
ryan.com,173.56.190.119,40a:ab34:2ae6:9483:dbb3:e235:cea9:a27f
hammond.com,102.221.36.156,70e9:3a:9f96:67ba:8cdd:453:6881:2f8e
swanson-lewis.com,199.81.224.91,c666:2e26:ebbf:a1de:38ee:5501:a18e:b8a6
murphy.biz,17.185.174.97,af0f:bef:f4b0:bfd:143e:461e:ccc7:8d28
young.org,146.253.122.153,1dc2:2bcd:c5de:12fe:6983:2d69:c3b:36a0
reed.com,205.122.44.170,b4a6:71ca:36f7:f5b7:6236:c5fc:2a11:dfe6
johnson-gamble.net,150.238.32.82,650:23b0:8879:421a:c1c6:e7e:b168:7b0f
simon.com,181.66.75.188,55af:7bee:47d7:a784:dcb9:cd20:26c2:f5b9
powell.org,4.143.59.118,b983:ac37:84b5:6806:fcf0:89ce:83ac:70b0
